file,nodes,edges,cyclomatic_complexity,weakly_connected_components,scc_count,density,avg_betweenness,max_betweenness,avg_in_degree,avg_out_degree,max_in_degree,max_out_degree,leaf_nodes,root_nodes,complexity_per_node,edge_to_node_ratio,scc_to_node_ratio,leaf_ratio,label,category
0c81711e99f2ef1dce1864f4af575c2056973693dc2802f69fe95dd544e66b4e,94,126,34,1,85,0.014413,0.042074,0.123188,1.3404,1.3404,4,2,27,1,0.361702,1.340425,0.904255,0.287234,1,malware
0d9a7eb322c02d5ff9849b11d0b4d1f7a65f679dcb4d9f66fd76a2097bfebcf3,2452,2261,595,393,2405,0.000376,0.0,4.1e-05,0.9221,0.9221,84,2,921,652,0.242659,0.922104,0.980832,0.375612,1,malware
0dea70ddff2a835d7b0db77a81549a262a212270aaaa552716410fc2bc341895,4086,5809,1825,51,3445,0.000348,0.000422,0.018049,1.4217,1.4217,52,6,660,430,0.446647,1.421684,0.843123,0.161527,1,malware
0edb3e18958fc4ec5933eff82d162a158b75ca6865b5ce147c87e3d06f897c63,1991,1949,524,283,1848,0.000492,2e-05,0.001865,0.9789,0.9789,73,2,681,501,0.263184,0.978905,0.928177,0.342039,1,malware
0f1b7ced575d8ede655882f2809454634951e36d2469142fdeeb288f18421593,8241,13606,5407,21,7069,0.0002,0.000243,0.012393,1.651,1.651,204,32,987,227,0.65611,1.651013,0.857784,0.119767,1,malware
0faf5ffdf0c477e7927a17baf6601911c0cb782152c793ebbbcda6e7c3575ab5,5695,9274,3607,14,4793,0.000286,0.000265,0.023387,1.6284,1.6284,149,13,687,157,0.633363,1.628446,0.841615,0.120632,1,malware
0fcff7f0c153b3de7de84c3499ef6f7cd83dbdbe745b753836bb5b11281c3ea0,3741,5935,2214,10,2934,0.000424,0.001157,0.039168,1.5865,1.5865,42,49,416,198,0.59182,1.586474,0.784282,0.1112,1,malware
0fd186b747c369ce639853049d8729603557fc4d1d7a72f6124987902984c140,2422,2324,620,359,2289,0.000396,5e-06,0.00069,0.9595,0.9595,85,2,849,611,0.255987,0.959538,0.945087,0.350537,1,malware
111e8eee493dd285a2b993c66f47fd77bd9d2be8d4a35f4e60f54ea44f14526e,4371,7152,2803,11,3475,0.000374,0.000669,0.043547,1.6362,1.6362,98,8,512,89,0.641272,1.636239,0.795013,0.117136,1,malware
112b95de978d51650c25a1ff85e66f0348d7a84c90901c3e69eae91c51ccec86,2335,2293,572,307,2244,0.000421,3e-06,0.000407,0.982,0.982,43,2,768,529,0.244968,0.982013,0.961028,0.328908,1,malware
11c5018b7c35f6024c5b180d75175a36e5a992b0ef85abefdc61259a8aeb27f2,4086,5809,1825,51,3445,0.000348,0.000359,0.013246,1.4217,1.4217,52,6,660,430,0.446647,1.421684,0.843123,0.161527,1,malware
11f89055ed6ae6bf4243a41ea5890ef1f49dae00168e8c2c504526259f2eb788,4086,5809,1825,51,3445,0.000348,0.000299,0.017273,1.4217,1.4217,52,6,660,430,0.446647,1.421684,0.843123,0.161527,1,malware
12318eb6c3dafaf0bbdeeeae688625383dc0ea7fdfad5dd233ed7a5c8b39bd62,2014,1970,526,285,1871,0.000486,2.3e-05,0.002858,0.9782,0.9782,73,2,684,503,0.261172,0.978153,0.928997,0.339623,1,malware
